tweet_text,actual_sentiment,predicted_sentiment
jetblue word thanks,2,2
united rikrik made come help anything jp free ticket convince,1,0
united guy horrible first get stuck snow hr ewr sitting cmh saying could min gate,0,0
united vacation day relevant ritz pr night losing day idiot sleeping newark ramada priceless,0,0
southwestair baggage delivery bwi delayed unnecessarily chaotic disappointing long trip frequent traveler,0,0
jetblue u suck big donkey ball,0,0
jetblue flew san francisco fort lauderdale last year fantastic time would like go back,2,0
united please dont take membership away,0,0
southwestair plan implement callback system reflight booking problem line hold hour,0,0
usairways plan support applepay board usairways mc would nice still use forget card,1,0
united bereavement discount airfare grandfather passed need attend funeral week,1,1
united trying check tomorrow flight website keep timing whats,0,0
usairways pretty sure didnt actually take,0,0
jetblue try harder take winner attitude work,1,0
united nd time row ive charged plane ticket united shouldnt check cc everytime,0,0
includes kciairport southwestair inclement weather may impact scheduled service reflight booking problem option available,0,0
americanair thanks,2,2
usairways claudoakeshott dont need link getting person u say u dont know bag lost nonstop phx jfk,0,0
usairways embarrassing,0,0
united miss oscar ill never fly united,0,0
americanair would like reimbursed shuttle denver diversion hour sitting plane mech problem,0,0
americanair thanks responsetough night involved flight got cancelled flightled started taxiing runway,0,0
united whats going ua outbound flight last thurs delayed hr long delay worstunitedflightsever,0,0
united would like know whats going current flight land,1,1
southwestair current promotionscodes nashvilledenver thank,1,2
americanair flight dallas tuesday going cancelled flightled correct,1,0
southwestair sweet promo code help visit family please lol,1,1
americanair oh aa speed dial,1,0
americanair service horrible cant get straight answer ground agent,0,0
southwestair best credit card useopen get mile yall,1,1
americanair course thats company job guy failed first place upgrade well talk,1,0
virginamerica anyone anything today website useless one answering phone,0,0
insulting usairways americanair offer non required voucher goodwill offeringat least bag fly round trip,0,0
united worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade,0,0
americanair maintenance md sits two day frozen line found boarded come faail mci,0,0
americanair drop call dont people answering phone always high call volume call,0,0
southwestair yall real mvp price,2,0
jetblue tux itd date umosaicmecrazy,2,1
americanair feb th rep gave record locator told id receiving email itinerary confirmation,0,0
americanair fantastic thanks try tweet photo view,2,2
usairways fyi customer service rep carol absolute delight pleasant rebooked lightning speed thanks,2,0
jetblue always pleasure,2,2
virginamerica told check airline regulation first contacted,1,0
southwestair hot stewardess flipped,2,2
usairways grandbabies week travel dc birth thank reasonable fare see saturday,2,2
united bag mia since wednesday still word well ever see lostluggage frustrated,0,0
jetblue afternoon flight going bqn jfk seem find early morning flight,1,0
americanair thanks actually made connection flight delayed guess delay bad thing,2,0
united stuck yyz staff took break happy k,0,0
united appalled lack communication awful journey ewr bos hr delay need explained better,0,0
usairways flight got cancelled flightled charlotte hold hour pls pick,0,0
americanair suprise new vanity kit set frequent traveller thank aa,2,2
united please tell clt flight need gate waiting min,0,0
jetblues ceo battle appease passenger wall street waterbury republican american,1,1
jetblue big shoutout crew bosgtjfk amp jfkgtroc amp gate crew c bos amp jfk long day delay made better,2,0
usairways consolation bag somewhere else real impediment going different vacation,0,0
usairways delayed flight time cancelled flighting angry rude worker providing helpful service,0,0
united bummer might go americanair card instead ty response though,0,0
americanair flight great fantastic cabin crew landing thankyou jfk,2,2
southwestair flightspots time mobileboarding must,1,1
usairways thehaileytate another blatant lie usairways,0,0
united ok thanks counter located late flight open,1,0
usairways wouldnt need wait hold hour website worked correctly please respond,0,0
americanair flying aa min delay mechanical issue perhaps consider maintenance,0,0
united brian sfo customer service deserves raise gave extra meal voucher good joke cheer flight delay ftw,2,0
southwestair know one thing delta would never treat customer like,0,0
southwestair pilotsamp crew flt customer service professional baggage claim outstanding thank,2,2
united tag bag airport hoping would actually arrive here hoping arrive,0,0
jetblue ill read nice glass wine right dig heel next novel maybe travel need,1,1
usairways americanair joke company today reminded never book,0,0
united locked account needed access book flight,0,0
americanair cancelled flight amp flight hr longer amp layover late flight find reasonably priced alternative,0,0
jetblue entire system go really,0,0
united oh sure planned occurs absolutely consistently usually yyj flight thats cancelled flightled daily,0,0
southwestair never awful customer service conflicting service outrageous,0,0
jetblue sil bought tix u nyc told gate cc declined supervisor accused u illegal activity,0,0
jetblue im session presented one beloved traveler paulgordonbrowni see love much,2,2
united im rebooked flight tomorrow even though st class seat orig lousy coach seat,0,0
united thinking could say many nice thing getting upgraded delayed flight ok,0,0
usairways flight philly gt mia bwahahaha delayed hr air min turned back around usairwaysfail,0,0
united thanks,2,2
united well one missed mark snit minute stepped counter,0,0
united thanks ground crew surprised flight arrive beingsuckontarmacsucks,0,2
united flying msp dxb child turn trip buy return ticket child,1,0
southwestair thanks good air side caution,1,2
jetblue airway hit new month high jblu wkrb news,1,1
jetblue bag still fly free started charging thanks,1,0
united dm sent thanks much strong customer service,2,2
united load balancing system apparently systemwide major impact united airline flight cyberattack,0,0
usairways u costing get home today reason send receipt reimbursed,0,0
united okay thanks,1,2
united cant even fit name first two line yes please pas feedback big downgrade previous year,0,0
americanair need talk get full refund trip call center offer assistance,0,0
usairways hotel voucher everyone get one mewhat arrived amsterdam snowstorm,0,0
americanair seems little preoccupied thats im bringing attention flagging issue observer,0,0
jetblues new ceo robin hayes battle appease passenger wall street business savannah,1,1
usairways thank apology,1,2
southwestair horrible customer service empty seat early flight wantcharge double get home early instead usual late flight,0,0
jetblue love guy sooooooo much ridiculously appreciated service,2,2
usairways yes thanks took forever,0,2
jetblue seems never received id password,0,0
united cause miss flight telling already left empathy gate staff crew apology really,0,0
usairways hold u min wasting time amp dont appreciate wheresthecustomerserviceat,0,0
usairways hell u left alliance joined world beyond smart move time start looking carrier,0,0
americanair watched bag abandoned depart gate watched gt min owner returned min reported,0,0
americanair looking status flight schedule tomorrow morning thank,1,1
usairways make reservation well make excuse usairwaysfail,0,0
americanair got new reservation tomorrow thanks,2,1
usairways doesnt take day respond already open case,0,0
usairways guy awake need help delayed flight get protected late flightr flight phl,0,0
jetblue cant dont acces phone rn iphone broke would rather change late flightr,1,0
united want contact someone question amp put hold minute order hung sent pet line,0,0
united changing mileageplus program winner loser airline travel loyalty reward,1,1
americanair flight delayed amp cant talk reach anyone customer service high call volume,0,0
jetblue whats current checked bag price policy fly coming week couldnt find anything definitive,1,0
virginamerica logan airport waiting checkin flight checkin desk open,0,1
jetblue fleet fleek,1,1
usairways help flight cancelled flighted cant call phone doesnt work europe please help say im booked want confirm,0,0
united plus food taxi,0,0
southwestair tried vip live vineyard yr site went time got redeem pt package gone,0,0
southwestair secondly begin boarding time despite aircraft present deplaned thus left min late flight,0,0
united calling number useless heading airport pick bag whole situation seems like real joke,0,0
americanair want change flight due weather condition dallas weekend able cover change fee mile,1,1
southwestair hi add flight account created,1,1
usairways checking plane everyone board plane pissed,0,0
jetblue kylejudah new stroller travel credit doesnt help cover cost new stroller crew ruined therefore,0,0
americanair every time try call tell try late flightr hang,0,0
virginamerica partner visa checkout mobile payment method help boost mobile conversion rate etailwest payment visa,1,0
united made feel guilty economy plus didnt pay extra leg room,0,0
southwestair know hard predict flight dallas nashville tomorrow,1,1
americanair airline trouble winter amp getting good customer service contact negotiate wcompanies foru,0,0
united doesnt daughter booked gold member mile get upgrade list flight tomorrow,0,0
united ua flight sfo lax took carry gate im group overhead bin empty,1,0
southwestair today sporadically changed flight departure time amp left two hour late flight uncharacteristic u,0,0
united considering im stuck newark virtually sleep hour doubt hope car rental available,0,0
americanair dfwairport together best part flying,2,2
usairways hold hour,0,0
americanair tried calling got high call volume moment message said goodbye hung,0,0
united guy big heart keep good work,2,2
americanair dfwairport trying get canx flight resched since noon got call back call disconnect soon answer,0,0
americanair since leaving tomorrow miami one thing right deliver bag airport,0,0
jetblue hold music suck,0,0
jetblue found camera thank rock,2,2
usairways crazy treated mom poorly happy usairwaysfail,0,0
united wanted cancelled flightled ticket special guess even united,0,0
united group line get longer every week almost one left group anymore time make explorer card group,1,0
southwestair letting dm,0,1
united trying reach number last standbye gave meal voucher potential day standbye,0,0
united thanks reply clarify airfare similar likely intended peer group beer charge however,0,2
united u cld explain disorganized inefficient company w surly obviously unhappy employee stay business,0,0
americanair thats im asking exception staffer moving last minutewere nonprofit amp losing want change ticket,0,0
usairways flight seattle lb much fuel water lavoratories nice job guy est min behind,0,0
americanair show plane,1,0
united fee,1,1
thanks southwestair get go destinationdragons imaginedragons show weekend utah velourlive thankyou,2,1
united thanks causing u miss connection hour delay flydeltanexttime,0,0
usairways americanair flight sf nyc made philly ur customer service telling refund last leg offensive,0,0
americanair anything,1,0
usairways ridiculous flight two hour rest wasted,0,0
americanair changed flight tonight couldnt aa behalf instead flight tomorrow poor effort around,0,0
united personal device entertainment system great app crashing every min im glad free,0,0
southwestair male flight attendant flight orlando indy amazing need raise best experience,2,2
united dont ever print known traveler number ticket never get use tsa prescreen paid,0,0
usairways hour minute want know im still queue,0,0
jetblue thanks customer like stay loyal check landing,2,2
southwestair thanks minute someone eventually help u took care,0,0
usairways stranded miami without updating departure board cancelled flightled flight,0,0
united rikrik made come help anything jp service hasnt great,0,0
americanair company policy refuse employee speak employee phone interesting,0,0
southwestair one look like problem fixed,0,0
usairways thanks cancelled flighting flight today missing required training happy customer,0,0
virginamerica wow blew mind,2,2
virginamerica plan short haul airline europe would defiantly fly guy,2,0
usairways dont know luggage seriously,0,0
united change name united incompetence flight monday take hour drive get flight,0,0
jetblue effort fix point system day call customer service still account update chasing point fun,0,0
united trying change flight booked hour ago online system charging fee per passenger could please help,0,0
united thanks updating hour delay exact second got atl,2,0
united service pretty much ruined day thanks weak attempt,0,0
southwestair thanks taking notch leinenkugels craftbeer goodflight norfolk,2,2
end rt usairways reminder well tweeting americanair join u,1,1
jetblue awww thank b glad hear made day amp one last question idea tail operating flt maro,2,2
united waited min bag min flight nomorecheckedbags,0,0
virginamerica application io looking saw virgin mexico lt,1,1
southwestair tv stream mean get spend flight watching womens world cup final throwback bestflightever,2,1
usairways amazing best follow please follow back,2,2
jetblue thank finger crossed,2,2
jetblues new ceo seek right balance please passenger wall time colonist,1,1
americanair yepfiled claim heathrow yesterday promised call morning update got nothing,0,0
oh yeah rt jetblue fleet fleek,1,1
usairways customer service dead last wk flts delayedcancelled flighted bag lost day last nt flt delayedcancelled flighted meal voucher,0,0
southwestair everyones flight cancelled flightled today deserve,0,0
americanair made flight still update email landed info ever sent second flight losing biz,0,0
jetblue fleet fleek noooooooooooooooooo,1,1
americanair late flight phoenix gave tick away arrived chicago held bag hostage chicago rented van drove toledo hr drive,0,0
united q purchased ticket hawaii trip late flightmarch mean acquire mile based price distance flown,1,0
americanair love holy automated phone system going give like option give numerical shortcut,0,0
jetblue flew flight month ago girlfriend got away sex restroom allowed,1,1
americanair boeingairplanes really would love experience first class planelooks stunning,2,0
southwestair horrible experience passenger size seat offered voucher christine c,0,0
jetblue want room food allowance agent refusing give u voucher use room book,0,0
usairways update flight orf phl one gate,0,0
virginamerica wjere luggage slow lax,0,0
jetblue definitely,2,2
usairways dcagthpn u r prof hostage takerswe stood bus plane minnow sitting plane mvmt amp announcement gt hour,0,0
jetblue ever looking intern,1,1
americanair derekc surprise ba doesnt registered system getting hopeful let step okay,0,0
united flight let go look like clown one giving st class,0,0
usairways grt flight phx last week tonight terrible hour taxing give u water cracker compensate,0,0
usairways eh happens think ill survive thanks,1,1
virginamerica miss dont worry well together soon,1,2
southwestair thanks ton,2,2
jetblue whats going flight many free trip get epic inconvenience anku,0,0
jetblue phew pant wheeze,1,1
usairways new marketing song let u know think,1,1
usairways saddens first tweet ever complaint customer service,0,0
usairways nburnside u hate delay u amp holding hostage goingforgreatnessfail,0,0
united thanks letting switch flight bc checked bag cancelled flighting flight forcing take another hr late flightr,0,0
united yes please newly married trying update last name preexisting international flight seems easy,0,0
americanair month straight travel ahead time find new airline,0,0
usairways commitment excellence b praised get wrong city day late flight right one day late flight customerservice,0,0
united ua tonight told delayed due late flight crew idea crew coming staff unhelpful idea,0,0
united missing wedding delay would cool,0,0
usairways cltdouglas slowest baggage claim ever,0,0
southwestair flight omagtden actually cancelled flightled hold hour website say conflicting message,0,0
united come shuttle bus lga ewr electrical power outlet new airbus interior whyjeff,0,0
usairways flt hr late flight baggage hr see delivered suitcase wet inside amp nothappy,0,0
jetblue news flight pbiboston delay wait arrive airport based reported hour delay,0,0
united know would awesome providing u complimentary entertainment flight especially longer hour,1,0
jetblue im flight booze served min give lostrevenue angryandsober bachelorpartymishap,0,0
jetblue boarding order someone boarded service animal member party allergic flight,0,1
jetblue bet,2,1
usairways really appreciate easy way get another flight mine delayed hr mechanical reason,0,0
united minute plus get two first one transferred spanish hotline unacceptable,0,0
usairways give free baggage mess,0,0
united time arrive airport domestic flight san diego,1,1
americanair dotnetnate two hour wait exps sit jfk phx flight u computer shot lax flight,0,0
southwestair received awesome phone help jim today helped switch around flight booked point,2,2
jetblue let say idontwannalivewithoutyourlove itwasminttobe bestinclasssocial thankyou travel business,1,0
united told go knowing issue go find wont fix,0,0
jetblue ccndjp send screen shot system error email address provided,0,0
united waiting plane long missed connecting flight left early thats last flight tonight help,0,0
americanair flight tomorrow status please thanks,1,1
united hour delay plus jetway wont move biz traveler never flying u,0,0
jetblue resolution,0,1
jetblue directed mobile website direct link get together,0,0
united deice taxing maybe makestoomuchsense shouldhaveflowndelta unitedsucks delta southwestair americanair,1,1
usairways according wtop dca seems recovering nicely yesterday snow cancelled flightling flight,0,0
southwestair dm southwestverity needed,1,1
united yet still havent left yet cant watch prepaid directtv firstworldproblems,0,0
united youre early frontrunner best airline oscar,2,2
united bullying workforce ok get gate agent work team never cool delay flight unitedairlines,0,0
southwestair poisonpill im boat flight jacksonville get,0,1
sb sound like usairways planned better since weather surprise completely unacceptable wait time,0,0
southwestair thanks attention ive flying southwest year havent issue past,2,2
jetblue offered flight paid changed itthis nd time done ruin cruise plan,0,0
united hour flight fll ewr waiting hour plus bag sign yet give,0,0
americanair lax amp got phone wreservations every flight thatd get bos tmrw apparently unavailable,1,0
usairways who charge company wife missed connection ca sent luggage another flight,0,0
southwestair hi saw black history month commercial tv amp im excited support monthwill grant free trip,2,1
americanair sent,1,1
americanair review system notification website telephone system place clearly inadequate,0,0
jetblue great job getting flight minute early bad minute counting waiting bag,0,0
usairways sorry meant flight supposed depart say issue,0,0
southwestair find way cancelled flight flight,0,0
usairways americanair partner w different hotel phl clarion proving difficult amp customer friendly,0,0
americanair nynjairports aa min priority bag arrive late flight evening plan delta min bag guarantee anyone,0,0
southwestair youre going charge wifi u solid make sure doesnt take length flight open page,0,0
virginamerica cutest salt pepper shaker ever think guy cant get better,2,0
jetblue brazil volunteer teaching english amp spanish poor child skill improve chance better life,1,0
united checking status claim going month attention upset,0,0
jetblue called jb timeseverytime auto vmsgyour wait time longer min waited longer min answer,0,0
united perfectomobile admit app good lot useful func live seat map congrats,2,0
southwestair outline policy scenario,1,1
united company value customer amp reading tweet im one feel way lostmybusiness,0,0
jetblue free wifi flt pbi make hr delay treat u right,0,0
united im rebooked getting home hour late flightr planned chance ill ever see bag unhappytraveler,0,0
americanair fail flight rdu sitting waiting flight attendant logistics good,0,0
usairways flight delayed hour reason given sure love flying airline whatajoke,0,0
southwestair way get receipt cancelled flightled portion roundtrip flight used flight voucher need receipt,1,0
americanair trying get home beyond complicated hard student split fly aa ever,0,0
jetblue fleet fleek,1,1
united change airport actually get flight flight fay cancelled flightled twice taxi ride rdureimburse,0,0
usairways cant get anyone phone help award travelpurchased extra mile minute late flightr mile needed raised,0,0
jetblue better better passenger flight jfk pwm,0,0
jetblue day maybe,0,0
usairways frustrating still gotten back bag sent ny mystery shame time,0,0
united orthodoc oncall inflight glad service,2,0
usairways possible earn dividend mile passenger even purchasing ticket,1,0
southwestair using social business roadmap develop intelligent path embed social across enterprise ragandisney,1,0
jetblue flight u stuck plane nearly hr set take flight control deny u worst service,0,0
jetblue capital one explained false fraud alert jet blue representative issue new tkt wasnt resolved,0,0
united guy made day treated well thank,2,2
jetblue dc thinking summer new nantucket service broadway world,1,1
united fail cancelled flightled flight frm gjt used reserv home iah sea reflight booking problem wout permission phrps,0,0
americanair still reply email sent th february even sent email asking acknowledgment thats recieved nothing,0,0
usairways americanair staff member looking like two head check website,0,0
usairways americanair hold hour yesterday wo speaking agent hold w phone min let bashing begin,0,0
virginamerica know would amazingly awesome bosfll please want fly,2,1
united designed deter people forgetting thing provide storage space article say latter unfriendlyskies,0,0
southwestair roundtrip ticket need change one leg trip nearby airport possible via website,1,1
united outbound bag lb bag returning home bag lb logic writing machine human help required,0,0
southwestair oops sorry done,1,1
united ua lax den scheduled land lax please rebook denver best flight,0,1
united notification yet staff board say accurate departure time,0,0
virginamerica trying make change advance hour priortried online earlier wanted change fee,0,1
southwestair asshole cut front system blow,0,0
united sfo bos internet give,0,0
united youre good thank,2,2
americanair thanks response know fault im ord hungry want stop,0,0
united would never fly united airline,0,0
united thats didnt read entire tweet wife pm flight delayed thats hour flight delay week,0,0
usairways ruined honeymoon causing u miss international flight stranded,0,0
jetblue thats weather relate flightd nice blaming weather airport wasnt prepared investigation time,0,0
usairways suggest failure make huge donation theuso charlotte nc provided great customer service today unlike,0,2
americanair actingoutmgmnt make sure remember load bag onto plane cancelled flight flight forget,0,0
usairways least could make caused ruining people memory ashamed,0,0
unitedlies lie liesstill sitting gate moved inch,0,0
united partner first trip nyc bought ticket time please seat u next conf ilchp,1,0
united firstclass london way londonfashionweek lfw,2,0
jetblue gif game strong,0,1
united phone hour customer service cant figure awesome service,0,0
usairways flight booking problem flight using credit previously cancelled flightled flight cant get thru phone cant book online help please,0,0
usairways service philly unacceptable look better service yr old shouldnt hard time,0,0
united showed flight several hour early tried call amp hold min bf call disconnected,0,0
united need help never got ticket conf ggqzqd,1,0
united rd party service known ezee flight man confirmed born india told name steve wilson,1,0
southwestair hey friend phone alist number ivr hang multiple time sure proceed,0,0
usairways sent email customerrelationsaacom work,1,1
jetblue btw name samantha everyone flight,2,1
americanair flight veers icy runway dfwairport dfw flight cancelled flighted mon cowboycerrone figure right,0,0
southwestair still offer discount seat child would rather put seat lap,1,0
united late flight crew btv last nite delayed today flt miss connection cun play hotel tonight ewr,0,0
southwestair need wheelchair gate sure option,1,0
jetblue status flight mco lga tomorrow,1,1
jetblue kylejudah spoke baggage claim center gave travel credit responsible cost,0,0
americanair another customer non service waited solve problem would miss funeral suck,0,0
united amazing flying mile unitedairlines amp alliance last year still got jilted status moneyelsewhere,2,0
united really culture problem everyone tried work blamed someone else told theyre short staffed,0,0
southwestair start new job tomorrow amp cancelled flight flight bwilax really cant get another flight today,0,0
united flight amazing best flight ever kidding service incredible,2,2
usairways thank continuing worst airline didnt need extra hour sleep hour travel anyway,0,0
united day saga maybe theyll finally make homeintentional gonna get back vacation day badservice,0,0
united yes ill sending email customer service today,1,0
americanair much status ep million mile revenue first class ticket im sitting coach thanks rude c staff,0,0
jetblue dont remember date monday night back nyc heartbroken,2,0
united im try upgrade seat first class wait time phone minute help,0,0
southwestair frustrated bought early bird day ticket released got midb ticket spend nothing,0,0
usairways disappointed least could give u access admiral club hour flight wedding,0,0
southwestair another delay wow,0,0
americanair im sure certainly chilly back east today,1,0
jetblue reason delay,0,0
jetblue ugh always know way heart,2,0
americanair dont driver service get employee work bad weather like hospital etc badmgmt americanairlines,0,0
usairways probably losing family world traveler customer due broken process americanair hope fix,0,0
jetblue look like inflatable car seat got left plane guess theyll back sometime savethoseseats,0,0
southwestair pleasantly surprised boarding flight time morning flynashville good job,2,2
americanair thanks,2,2
americanair sent dm please help,1,1
southwestair idea winter advisory posted atl tomorrow id rather get phl tonight,1,1
jetblue thats love jetblue truebluememberlife,2,2
united thanks making everyone wait dark hour newark try figure gate go incompetence,0,0
united many people ua going miss connection due long wait time sfo tarmac seriously u cant find empty gate,0,0
jetblue well thng wait someone explain u situation responsibility,0,0
americanair yes traveling marsh harbor,1,1
usairways choice pay another go airport hope treated better rep,0,0
jetblue leave certain thing kid,1,1
americanair thank help p guy best americanairlines americanair,2,2
jetblue wont site let book ticket nov jfk kin,0,0
usairways bring copy photo baby birth certificate flight feel uncomfortable traveling real thing,1,0
virginamerica cancelled flight flight vx one sec delayed airport next cancelled flightledgonna email call reschedule,0,0
southwestair ahah love sw,2,2
united used committed continentalairlines flyer merger remember switched southwestair communicationfail,0,0
americanair,1,1
lt lt rt southwestair danihampton sorry hear wifi connection dani please dm u conf help thanks,0,2
americanair set notification aa amp u airway still nothing,0,0
jetblue st flight morning flying toddler plane heated comfortable temp boarding start itscold,1,1
usairways pls get back tallahassee one ever stranded gainesville long,0,0
southwestair know ala live far far away book,1,2
virginamerica help flight jkf tonight seat c left portfolio need back,1,1
usairways amp dfw psp thank,2,2
southwestair jason gate san made afternoon southwestairlines stellarservice thanks,2,2
americanair narrowly made standbylots snag trip,0,0
usairways cancelled flightling dont want put u hotel night guess,0,0
southwestair filled form website darn guess ill cross finger,0,0
united dm sent,1,1
americanair restaff commence new policy industry embarrassed,0,1
americanair flight cll wont let check please help importantflight,0,0
southwestair lacma fairfax,1,1
southwestair waiting minute hold yall cancelled flightled return flight answer phone,0,0
americanair contactcej thanks,2,2
southwestair im upset luggage damaged rude employee laguardia airport didnt help,0,0
jetblue wifi lie hate,0,0
americanair losing bag daysampcharging toarrange pick upin argentinaclaiming tollfree wont reimburse help,0,0
americanair sure would bother agent airport didnt help amp nobody phone would ticket cancelled flightled reason,0,0
jetblue phone rep min transferred asking worse rep ever,0,0
southwestair hold hr got cutoff cancelled flightled flight cant get booked cruise florida terrible customer service,0,0
southwestair thank well touch moveaboutthecountry,2,2
usairways wanted connect discus sponsorship opportunity silicon valley day film festival,1,0
united counter agent rdu deserve medal thankyou,2,0
americanair see report team,0,0
jetblue order fare,1,1
